"","storet_code","short_name","normality_status","log_normality_status","percent_nd","analysis_result","is_nd"
"1","00400","pH (field)","Parametric","Parametric",25,7.5,TRUE
"2","00400","pH (field)","Parametric","Parametric",25,7.5,TRUE
"3","00400","pH (field)","Parametric","Parametric",25,7.5,TRUE
"4","00400","pH (field)","Parametric","Parametric",25,7.5,TRUE
"5","00400","pH (field)","Parametric","Parametric",25,7.7,FALSE
"6","00400","pH (field)","Parametric","Parametric",25,7.5,TRUE
"7","00400","pH (field)","Parametric","Parametric",25,7.5,TRUE
"8","00400","pH (field)","Parametric","Parametric",25,7.6,TRUE
"9","00400","pH (field)","Parametric","Parametric",25,7.4,FALSE
"10","00400","pH (field)","Parametric","Parametric",25,7,FALSE
"11","00400","pH (field)","Parametric","Parametric",25,7.1,TRUE
"12","00400","pH (field)","Parametric","Parametric",25,7.5,TRUE
"13","00400","pH (field)","Parametric","Parametric",25,7.5,TRUE
"14","00400","pH (field)","Parametric","Parametric",25,7.4,FALSE
"15","00400","pH (field)","Parametric","Parametric",25,6.5,FALSE
"16","00400","pH (field)","Parametric","Parametric",25,7.4,FALSE
"17","00400","pH (field)","Parametric","Parametric",25,7.5,TRUE
"18","00400","pH (field)","Parametric","Parametric",25,7.5,TRUE
"19","00400","pH (field)","Parametric","Parametric",25,6.9,FALSE
"20","00400","pH (field)","Parametric","Parametric",25,7.2,FALSE
"21","00400","pH (field)","Parametric","Parametric",25,7.1,TRUE
"22","00916","Ca, tot","Non-Parametric","Parametric",25,51,FALSE
"23","00916","Ca, tot","Non-Parametric","Parametric",25,52,FALSE
"24","00916","Ca, tot","Non-Parametric","Parametric",25,71,FALSE
"25","00916","Ca, tot","Non-Parametric","Parametric",25,49,FALSE
"26","00916","Ca, tot","Non-Parametric","Parametric",25,50,TRUE
"27","00916","Ca, tot","Non-Parametric","Parametric",25,50,TRUE
"28","00916","Ca, tot","Non-Parametric","Parametric",25,45,FALSE
"29","00916","Ca, tot","Non-Parametric","Parametric",25,44,FALSE
"30","00916","Ca, tot","Non-Parametric","Parametric",25,48,FALSE
"31","00916","Ca, tot","Non-Parametric","Parametric",25,53,TRUE
"32","00916","Ca, tot","Non-Parametric","Parametric",25,53,TRUE
"33","00916","Ca, tot","Non-Parametric","Parametric",25,64,TRUE
"34","00916","Ca, tot","Non-Parametric","Parametric",25,50,TRUE
"35","00916","Ca, tot","Non-Parametric","Parametric",25,50,TRUE
"36","00916","Ca, tot","Non-Parametric","Parametric",25,50,TRUE
"37","00916","Ca, tot","Non-Parametric","Parametric",25,50,TRUE
"38","00916","Ca, tot","Non-Parametric","Parametric",25,46,FALSE
"39","00916","Ca, tot","Non-Parametric","Parametric",25,43,FALSE
"40","00916","Ca, tot","Non-Parametric","Parametric",25,51,FALSE
"41","00951","F, tot","Parametric","Parametric",25,0.54,FALSE
"42","00951","F, tot","Parametric","Parametric",25,0.494,TRUE
"43","00951","F, tot","Parametric","Parametric",25,0.409,FALSE
"44","00951","F, tot","Parametric","Parametric",25,0.486,FALSE
"45","00951","F, tot","Parametric","Parametric",25,0.508,TRUE
"46","00951","F, tot","Parametric","Parametric",25,0.437,FALSE
"47","00951","F, tot","Parametric","Parametric",25,0.418,FALSE
"48","00951","F, tot","Parametric","Parametric",25,0.66,TRUE
"49","00951","F, tot","Parametric","Parametric",25,0.65,FALSE
"50","00951","F, tot","Parametric","Parametric",25,0.564,FALSE
"51","00951","F, tot","Parametric","Parametric",25,0.393,FALSE
"52","00951","F, tot","Parametric","Parametric",25,0.509,FALSE
"53","00951","F, tot","Parametric","Parametric",25,0.567,FALSE
"54","00951","F, tot","Parametric","Parametric",25,0.47,FALSE
"55","00951","F, tot","Parametric","Parametric",25,0.448,TRUE
"56","00951","F, tot","Parametric","Parametric",25,0.686,FALSE
"57","01022","B, tot","Non-Parametric","Parametric",25,0.1,FALSE
"58","01022","B, tot","Non-Parametric","Parametric",25,0.1,FALSE
"59","01022","B, tot","Non-Parametric","Parametric",25,0.12,TRUE
"60","01022","B, tot","Non-Parametric","Parametric",25,0.099,FALSE
"61","01022","B, tot","Non-Parametric","Parametric",25,0.082,FALSE
"62","01022","B, tot","Non-Parametric","Parametric",25,0.079,TRUE
"63","01022","B, tot","Non-Parametric","Parametric",25,0.09,FALSE
"64","01022","B, tot","Non-Parametric","Parametric",25,0.12,TRUE
"65","01022","B, tot","Non-Parametric","Parametric",25,0.078,FALSE
"66","01022","B, tot","Non-Parametric","Parametric",25,0.16,FALSE
"67","01022","B, tot","Non-Parametric","Parametric",25,0.082,FALSE
"68","01022","B, tot","Non-Parametric","Parametric",25,0.073,FALSE
"69","01022","B, tot","Non-Parametric","Parametric",25,0.093,TRUE
"70","01022","B, tot","Non-Parametric","Parametric",25,0.074,TRUE
"71","01022","B, tot","Non-Parametric","Parametric",25,0.076,FALSE
"72","01022","B, tot","Non-Parametric","Parametric",25,0.093,TRUE
